iter,cell_id,train_id,inference_id,macro_f1,micro_f1,mAP,top1_11class,temperature,ece_post,source
4,T5__I1,T5,I1,0.8024,0.7518,0.8163,0.4591,1.0,0.0044,outputs/stage2_260505_170121
4,T5__I2,T5,I2,0.7185,0.7304,0.827,0.454,1.0,0.0044,outputs/stage2_260505_170121
4,T5__I3,T5,I3,0.8018,0.7574,0.827,0.4426,1.0,0.0044,outputs/stage2_260505_170121
4,T5__I4,T5,I4,0.8018,0.7574,0.827,0.4426,1.2012,0.0043,outputs/stage2_260505_170121
4,T5__I6,T5,I6,0.7455,0.7597,0.827,0.5403,1.0,0.0044,outputs/stage2_260505_170121
4,T5__I7,T5,I7,0.7589,0.7736,0.827,0.5432,1.0,0.0044,outputs/stage2_260505_170121
4,T5__I8,T5,I8,0.7942,0.7637,0.827,0.5239,1.0,0.0044,outputs/stage2_260505_170121
4,T5__I9,T5,I9,0.8018,0.7574,0.827,0.4426,2.7362,0.0505,outputs/stage2_260505_170121
4,T6__I0,T6,I0,0.7271,0.7469,0.6591,0.4511,1.0,0.0055,outputs/stage2_260505_170121
4,T6__I1,T6,I1,0.8064,0.7557,0.8302,0.4705,1.0,0.0055,outputs/stage2_260505_170121
4,T6__I2,T6,I2,0.7547,0.7713,0.8684,0.5466,1.0,0.0055,outputs/stage2_260505_170121
4,T6__I3,T6,I3,0.8396,0.7905,0.8684,0.5108,1.0,0.0055,outputs/stage2_260505_170121
4,T6__I4,T6,I4,0.7915,0.7399,0.7621,0.4506,0.001,0.0,outputs/stage2_260505_170121
4,T6__I6,T6,I6,0.777,0.7965,0.8684,0.571,1.0,0.0055,outputs/stage2_260505_170121
4,T6__I7,T6,I7,0.819,0.8287,0.8684,0.6244,1.0,0.0055,outputs/stage2_260505_170121
4,T6__I8,T6,I8,0.7858,0.7306,0.8684,0.4188,1.0,0.0055,outputs/stage2_260505_170121
4,T6__I9,T6,I9,0.8215,0.7721,0.8684,0.4841,1.8566,0.0538,outputs/stage2_260505_170121
4,T1__I10,T1,I10,0.8634,0.8518,0.8753,0.7006,1.0,0.1402,outputs/stage1_260505_173649
4,T4__I10,T4,I10,0.7759,0.7836,0.8445,0.583,1.0,0.0238,outputs/stage1_260505_173829
4,T5__I10,T5,I10,0.7589,0.7736,0.827,0.5432,1.0,0.0044,outputs/stage1_260505_173955
4,T6__I10,T6,I10,0.8193,0.8291,0.8684,0.6256,1.0,0.0055,outputs/stage1_260505_174123
5,T1_LS05__I3,T1_LS05,I3,0.7899,,,0.5534,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS05__I7,T1_LS05,I7,0.7964,,,0.5591,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS05__I10,T1_LS05,I10,0.7941,,,0.5574,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS10__I3,T1_LS10,I3,0.8363,,,0.6261,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS10__I7,T1_LS10,I7,0.822,,,0.4767,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS10__I10,T1_LS10,I10,0.8317,,,0.5631,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS15__I3,T1_LS15,I3,0.8961,,,0.7517,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS15__I7,T1_LS15,I7,0.8959,,,0.7517,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS15__I10,T1_LS15,I10,0.89,,,0.7449,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS20__I3,T1_LS20,I3,0.9239,,,0.8324,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS20__I7,T1_LS20,I7,0.9268,,,0.8449,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS20__I10,T1_LS20,I10,0.8841,,,0.8136,1.0,,outputs/phase_a_260505_175105/sweep_log.csv
5,T1_LS25__I3,T1_LS25,I3,0.8663,,,0.6989,1.0,,outputs/phase_a_260505_182044/sweep_log.csv
5,T1_LS25__I7,T1_LS25,I7,0.8647,,,0.6903,1.0,,outputs/phase_a_260505_182044/sweep_log.csv
5,T1_LS25__I10,T1_LS25,I10,0.8398,,,0.6824,1.0,,outputs/phase_a_260505_182044/sweep_log.csv
5,T1_LS30__I3,T1_LS30,I3,0.8185,,,0.6466,1.0,,outputs/phase_a_260505_182044/sweep_log.csv
5,T1_LS30__I7,T1_LS30,I7,0.8048,,,0.621,1.0,,outputs/phase_a_260505_182044/sweep_log.csv
5,T1_LS30__I10,T1_LS30,I10,0.768,,,0.6051,1.0,,outputs/phase_a_260505_182044/sweep_log.csv
6,T1_LS20_ep3__I3,T1_LS20_ep3,I3,0.8467,,,0.5909,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep3__I7,T1_LS20_ep3,I7,0.85,,,0.6023,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep3__I10,T1_LS20_ep3,I10,0.8763,,,0.6881,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep5__I3,T1_LS20_ep5,I3,0.8254,,,0.592,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep5__I7,T1_LS20_ep5,I7,0.8236,,,0.6165,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep5__I10,T1_LS20_ep5,I10,0.8567,,,0.7074,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep12__I3,T1_LS20_ep12,I3,0.8926,,,0.7273,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep12__I7,T1_LS20_ep12,I7,0.8872,,,0.7233,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
6,T1_LS20_ep12__I10,T1_LS20_ep12,I10,0.8351,,,0.6716,1.0,,outputs/phase_a_260505_185805/sweep_log.csv
7,T1_F1_warmup__I3,T1_F1_warmup,I3,0.802,0.7632,0.835,0.475,1.0,0.172,outputs/stage1_260505_192541/results_matrix.parquet
7,T1_F1_warmup__I7,T1_F1_warmup,I7,0.7937,0.7567,0.835,0.4631,1.0,0.172,outputs/stage1_260505_192541/results_matrix.parquet
7,T1_F1_warmup__I10,T1_F1_warmup,I10,0.8181,0.7922,0.835,0.554,1.0,0.172,outputs/stage1_260505_192541/results_matrix.parquet
7,T1_F2_ema__I3,T1_F2_ema,I3,0.8213,0.8176,0.8598,0.6295,1.0,0.1902,outputs/stage1_260505_194014/results_matrix.parquet
7,T1_F2_ema__I7,T1_F2_ema,I7,0.811,0.8082,0.8598,0.6057,1.0,0.1902,outputs/stage1_260505_194014/results_matrix.parquet
7,T1_F2_ema__I10,T1_F2_ema,I10,0.8377,0.8376,0.8598,0.6602,1.0,0.1902,outputs/stage1_260505_194014/results_matrix.parquet
7,T1_F2_ema__I11,T1_F2_ema,I11,0.811,0.8082,0.8598,0.6057,1.0,0.1902,outputs/stage1_260505_194014/results_matrix.parquet
7,T1_LS20__I7,T1_LS20,I7,0.9268,0.9211,0.9385,0.8449,1.0,0.1788,outputs/stage1_260505_194443/results_matrix.parquet
7,T1_LS20__I11,T1_LS20,I11,0.9199,0.9153,0.9385,0.8432,1.0,0.1788,outputs/stage1_260505_194443/results_matrix.parquet
7,T7c__I3,T7c,I3,0.905,0.8923,0.9212,0.7545,1.0,0.0446,outputs/stage1_260505_195730/results_matrix.parquet
7,T7c__I7,T7c,I7,0.9035,0.8889,0.9212,0.7432,1.0,0.0446,outputs/stage1_260505_195730/results_matrix.parquet
7,T7c__I10,T7c,I10,0.9271,0.9203,0.9212,0.8307,1.0,0.0446,outputs/stage1_260505_195730/results_matrix.parquet
7,T7c__I11,T7c,I11,0.8945,0.8789,0.9212,0.7307,1.0,0.0446,outputs/stage1_260505_195730/results_matrix.parquet
7,T7a__I3,T7a,I3,0.8577,0.8271,0.8546,0.5534,1.0,0.0731,outputs/stage1_260505_200523/results_matrix.parquet
7,T7a__I7,T7a,I7,0.8516,0.8215,0.8546,0.5386,1.0,0.0731,outputs/stage1_260505_200523/results_matrix.parquet
7,T7a__I10,T7a,I10,0.8364,0.805,0.8546,0.5199,1.0,0.0731,outputs/stage1_260505_200523/results_matrix.parquet
7,T7a__I11,T7a,I11,0.8516,0.8215,0.8546,0.5386,1.0,0.0731,outputs/stage1_260505_200523/results_matrix.parquet
7,T7d__I3,T7d,I3,0.8876,0.8618,0.9018,0.6585,1.0,0.0873,outputs/stage1_260505_201706/results_matrix.parquet
7,T7d__I7,T7d,I7,0.8832,0.8565,0.9018,0.6523,1.0,0.0873,outputs/stage1_260505_201706/results_matrix.parquet
7,T7d__I10,T7d,I10,0.9038,0.8895,0.9018,0.7432,1.0,0.0873,outputs/stage1_260505_201706/results_matrix.parquet
7,T7d__I11,T7d,I11,0.8261,0.8065,0.9018,0.5653,1.0,0.0873,outputs/stage1_260505_201706/results_matrix.parquet
7,T7b__I3,T7b,I3,0.8544,0.8064,0.8704,0.5278,1.0,0.0324,outputs/stage1_260505_203340/results_matrix.parquet
7,T7b__I7,T7b,I7,0.8624,0.8178,0.8704,0.55,1.0,0.0324,outputs/stage1_260505_203340/results_matrix.parquet
7,T7b__I10,T7b,I10,0.8626,0.8181,0.8704,0.5511,1.0,0.0324,outputs/stage1_260505_203340/results_matrix.parquet
7,T7b__I11,T7b,I11,0.8624,0.8178,0.8704,0.55,1.0,0.0324,outputs/stage1_260505_203340/results_matrix.parquet
8,T9a__I3,T9a,I3,0.9332,0.9300,0.9451,0.8375,1.0,0.0143,outputs/stage1_260505_210059
8,T9a__I7,T9a,I7,0.9346,0.9325,0.9451,0.8443,1.0,0.0143,outputs/stage1_260505_210059
8,T9a__I10,T9a,I10,0.9364,0.9349,0.9451,0.8489,1.0,0.0143,outputs/stage1_260505_210059
8,T9a__I11,T9a,I11,0.9346,0.9325,0.9451,0.8443,1.0,0.0143,outputs/stage1_260505_210059
8,T9b__I3,T9b,I3,0.9424,0.9397,0.9378,0.8614,1.0,0.0060,outputs/stage1_260505_210535
8,T9b__I7,T9b,I7,0.9449,0.9418,0.9378,0.8670,1.0,0.0060,outputs/stage1_260505_210535
8,T9b__I10,T9b,I10,0.9449,0.9418,0.9378,0.8670,1.0,0.0060,outputs/stage1_260505_210535
8,T9b__I11,T9b,I11,0.9440,0.9409,0.9378,0.8659,1.0,0.0060,outputs/stage1_260505_210535
8,T9c__I3,T9c,I3,0.8491,0.8086,0.8384,0.6131,1.0,0.0114,outputs/stage1_260505_210932
8,T9c__I7,T9c,I7,0.8346,0.7916,0.8384,0.5875,1.0,0.0114,outputs/stage1_260505_210932
8,T9c__I10,T9c,I10,0.8609,0.8268,0.8384,0.6443,1.0,0.0114,outputs/stage1_260505_210932
8,T9c__I11,T9c,I11,0.8392,0.7967,0.8384,0.5949,1.0,0.0114,outputs/stage1_260505_210932
8,T9d__I3,T9d,I3,0.9673,0.9668,0.9864,0.9187,1.0,0.0106,outputs/stage1_260505_211334
8,T9d__I7,T9d,I7,0.9705,0.9693,0.9864,0.9267,1.0,0.0106,outputs/stage1_260505_211334
8,T9d__I10,T9d,I10,0.9705,0.9693,0.9864,0.9267,1.0,0.0106,outputs/stage1_260505_211334
8,T9d__I11,T9d,I11,0.9654,0.9636,0.9864,0.9205,1.0,0.0106,outputs/stage1_260505_211334
8,T9e__I3,T9e,I3,0.8085,0.7542,0.8362,0.4449,1.0,0.0425,outputs/stage1_260505_211752
8,T9e__I7,T9e,I7,0.8072,0.7499,0.8362,0.4523,1.0,0.0425,outputs/stage1_260505_211752
8,T9e__I10,T9e,I10,0.8072,0.7499,0.8362,0.4523,1.0,0.0425,outputs/stage1_260505_211752
8,T9e__I11,T9e,I11,0.8072,0.7499,0.8362,0.4523,1.0,0.0425,outputs/stage1_260505_211752
8,T9f__I3,T9f,I3,0.9401,0.9386,0.9521,0.8648,1.0,0.0088,outputs/stage1_260505_212153
8,T9f__I7,T9f,I7,0.9343,0.9333,0.9521,0.8517,1.0,0.0088,outputs/stage1_260505_212153
8,T9f__I10,T9f,I10,0.9338,0.9328,0.9521,0.8511,1.0,0.0088,outputs/stage1_260505_212153
8,T9f__I11,T9f,I11,0.9338,0.9328,0.9521,0.8511,1.0,0.0088,outputs/stage1_260505_212153
8,T9g__I3,T9g,I3,0.9268,0.9172,0.9468,0.7926,1.0,0.0079,outputs/stage1_260505_212557
8,T9g__I7,T9g,I7,0.9408,0.9306,0.9468,0.8307,1.0,0.0079,outputs/stage1_260505_212557
8,T9g__I10,T9g,I10,0.9408,0.9306,0.9468,0.8307,1.0,0.0079,outputs/stage1_260505_212557
8,T9g__I11,T9g,I11,0.9408,0.9306,0.9468,0.8307,1.0,0.0079,outputs/stage1_260505_212557
9,T10a__I3,T10a,I3,0.9160,0.8914,0.8870,0.7335,1.0,0.0063,outputs/stage1_260505_213423
9,T10a__I7,T10a,I7,0.9019,0.8638,0.8870,0.6460,1.0,0.0063,outputs/stage1_260505_213423
9,T10a__I10,T10a,I10,0.9128,0.8839,0.8870,0.7068,1.0,0.0063,outputs/stage1_260505_213423
9,T10a__I11,T10a,I11,0.9019,0.8638,0.8870,0.6460,1.0,0.0063,outputs/stage1_260505_213423
9,T10b__I3,T10b,I3,0.8577,0.8492,0.8997,0.6778,1.0,0.0269,outputs/stage1_260505_213817
9,T10b__I7,T10b,I7,0.8558,0.8475,0.8997,0.6739,1.0,0.0269,outputs/stage1_260505_213817
9,T10b__I10,T10b,I10,0.8543,0.8460,0.8997,0.6727,1.0,0.0269,outputs/stage1_260505_213817
9,T10b__I11,T10b,I11,0.8918,0.8914,0.8997,0.7511,1.0,0.0269,outputs/stage1_260505_213817
9,T11a__I3,T11a,I3,0.8630,0.8536,0.8980,0.6602,1.0,0.0175,outputs/stage1_260505_214222
9,T11a__I7,T11a,I7,0.8646,0.8547,0.8980,0.6551,1.0,0.0175,outputs/stage1_260505_214222
9,T11a__I10,T11a,I10,0.8549,0.8445,0.8980,0.6460,1.0,0.0175,outputs/stage1_260505_214222
9,T11a__I11,T11a,I11,0.8646,0.8547,0.8980,0.6551,1.0,0.0175,outputs/stage1_260505_214222
9,T12a__I3,T12a,I3,0.8829,0.8465,0.8718,0.6483,1.0,0.0203,outputs/stage1_260505_214634
9,T12a__I7,T12a,I7,0.8725,0.8214,0.8718,0.5602,1.0,0.0203,outputs/stage1_260505_214634
9,T12a__I10,T12a,I10,0.8862,0.8484,0.8718,0.6511,1.0,0.0203,outputs/stage1_260505_214634
9,T12a__I11,T12a,I11,0.8785,0.8293,0.8718,0.5716,1.0,0.0203,outputs/stage1_260505_214634
10,T0__I3,T0,I3,0.9641061927042193,0.964516129032258,0.9957802104963802,0.9083333333333333,1.0,0.0093536376953125,outputs/stage1_260506_012754 baseline_T9d_master_n50
10,T0__I7,T0,I7,0.9732480511491413,0.9737470167064439,0.9957802104963802,0.9375,1.0,0.0093536376953125,outputs/stage1_260506_012754 baseline_T9d_master_n50
10,T0__I10,T0,I10,0.9732480511491413,0.9737470167064439,0.9957802104963802,0.9375,1.0,0.0093536376953125,outputs/stage1_260506_012754 baseline_T9d_master_n50
10,T0__I11,T0,I11,0.965291043376191,0.965845909451946,0.9957802104963802,0.9291666666666667,1.0,0.0093536376953125,outputs/stage1_260506_012754 baseline_T9d_master_n50
10,T0__I3,T0,I3,0.938596485930582,0.9406175771971497,0.9740439165821732,0.9041666666666667,1.0,0.004803478717803955,outputs/stage1_260506_060122 C_seed42
10,T0__I7,T0,I7,0.944054500412882,0.9462875197472354,0.9740439165821732,0.9145833333333333,1.0,0.004803478717803955,outputs/stage1_260506_060122 C_seed42
10,T0__I10,T0,I10,0.944054500412882,0.9462875197472354,0.9740439165821732,0.9145833333333333,1.0,0.004803478717803955,outputs/stage1_260506_060122 C_seed42
10,T0__I11,T0,I11,0.9448332647179909,0.9471191791633781,0.9740439165821732,0.9166666666666666,1.0,0.004803478717803955,outputs/stage1_260506_060122 C_seed42
10,T0__I12,T0,I12,0.944054500412882,0.9462875197472354,0.9740439165821732,0.9145833333333333,1.0,0.004803478717803955,outputs/stage1_260506_060122 C_seed42
10,T0__I13,T0,I13,0.944054500412882,0.9462875197472354,0.9740439165821732,0.9145833333333333,1.0,0.004803478717803955,outputs/stage1_260506_060122 C_seed42
10,T0__I3,T0,I3,0.9511033956476028,0.952922077922078,0.9756718983784285,0.8895833333333333,1.0,0.004543900489807129,outputs/stage1_260506_061203 C_seed43
10,T0__I7,T0,I7,0.969516693270724,0.970125786163522,0.9756718983784285,0.9375,1.0,0.004543900489807129,outputs/stage1_260506_061203 C_seed43
10,T0__I10,T0,I10,0.969516693270724,0.970125786163522,0.9756718983784285,0.9375,1.0,0.004543900489807129,outputs/stage1_260506_061203 C_seed43
10,T0__I11,T0,I11,0.9481358581168317,0.949685534591195,0.9756718983784285,0.9104166666666667,1.0,0.004543900489807129,outputs/stage1_260506_061203 C_seed43
10,T0__I12,T0,I12,0.969516693270724,0.970125786163522,0.9756718983784285,0.9375,1.0,0.004543900489807129,outputs/stage1_260506_061203 C_seed43
10,T0__I13,T0,I13,0.969516693270724,0.970125786163522,0.9756718983784285,0.9375,1.0,0.004543900489807129,outputs/stage1_260506_061203 C_seed43
10,T0__I3,T0,I3,0.9783187797175107,0.9784860557768924,0.9990374382973762,0.9458333333333333,1.0,0.003248870372772217,outputs/stage1_260506_062212 C_seed44
10,T0__I7,T0,I7,0.9872255471693909,0.9874411302982732,0.9990374382973762,0.9770833333333333,1.0,0.003248870372772217,outputs/stage1_260506_062212 C_seed44
10,T0__I10,T0,I10,0.9872255471693909,0.9874411302982732,0.9990374382973762,0.9770833333333333,1.0,0.003248870372772217,outputs/stage1_260506_062212 C_seed44
10,T0__I11,T0,I11,0.9872255471693909,0.9874411302982732,0.9990374382973762,0.9770833333333333,1.0,0.003248870372772217,outputs/stage1_260506_062212 C_seed44
10,T0__I12,T0,I12,0.9872255471693909,0.9874411302982732,0.9990374382973762,0.9770833333333333,1.0,0.003248870372772217,outputs/stage1_260506_062212 C_seed44
10,T0__I13,T0,I13,0.9872255471693909,0.9874411302982732,0.9990374382973762,0.9770833333333333,1.0,0.003248870372772217,outputs/stage1_260506_062212 C_seed44
10,T0__I3,T0,I3,0.9641061927042193,0.964516129032258,0.9957802104963802,0.9083333333333333,1.0,0.0093536376953125,outputs/stage1_260506_053959 baseline_with_I12
10,T0__I7,T0,I7,0.9732480511491413,0.9737470167064439,0.9957802104963802,0.9375,1.0,0.0093536376953125,outputs/stage1_260506_053959 baseline_with_I12
10,T0__I10,T0,I10,0.9732480511491413,0.9737470167064439,0.9957802104963802,0.9375,1.0,0.0093536376953125,outputs/stage1_260506_053959 baseline_with_I12
10,T0__I11,T0,I11,0.965291043376191,0.965845909451946,0.9957802104963802,0.9291666666666667,1.0,0.0093536376953125,outputs/stage1_260506_053959 baseline_with_I12
10,T0__I12,T0,I12,0.9741046863705973,0.9745627980922098,0.9957802104963802,0.9395833333333333,1.0,0.0093536376953125,outputs/stage1_260506_053959 baseline_with_I12
10,T0__I13,T0,I13,0.9724643520895802,0.9729299363057324,0.9957802104963802,0.9375,1.0,0.0093536376953125,outputs/stage1_260506_053959 baseline_with_I12
11,T1__I3,T1,I3,0.8428593218119926,0.846093133385951,0.8640690853477907,0.6020833333333333,1.0,0.07417470216751099,outputs\stage1_260506_092731 p50_simple
11,T1__I7,T1,I7,0.8507664884135473,0.8528481012658228,0.8640690853477907,0.6166666666666667,1.0,0.07417470216751099,outputs\stage1_260506_092731 p50_simple
11,T1__I10,T1,I10,0.8507664884135473,0.8528481012658228,0.8640690853477907,0.6166666666666667,1.0,0.07417470216751099,outputs\stage1_260506_092731 p50_simple
11,T1__I11,T1,I11,0.8580327682330186,0.8591660110149488,0.8640690853477907,0.63125,1.0,0.07417470216751099,outputs\stage1_260506_092731 p50_simple
11,T1__I12,T1,I12,0.8507664884135473,0.8528481012658228,0.8640690853477907,0.6166666666666667,1.0,0.07417470216751099,outputs\stage1_260506_092731 p50_simple
11,T1__I13,T1,I13,0.8507664884135473,0.8528481012658228,0.8640690853477907,0.6166666666666667,1.0,0.07417470216751099,outputs\stage1_260506_092731 p50_simple
11,T3__I3,T3,I3,0.8201450191149198,0.8411712511091393,0.8708777927977087,0.6291666666666667,1.0,0.008949458599090576,outputs\stage1_260506_092755 p50_simple
11,T3__I7,T3,I7,0.824307081070227,0.8475177304964538,0.8708777927977087,0.6458333333333334,1.0,0.008949458599090576,outputs\stage1_260506_092755 p50_simple
11,T3__I10,T3,I10,0.824307081070227,0.8475177304964538,0.8708777927977087,0.6458333333333334,1.0,0.008949458599090576,outputs\stage1_260506_092755 p50_simple
11,T3__I11,T3,I11,0.8254209255420051,0.8485385296722764,0.8708777927977087,0.6479166666666667,1.0,0.008949458599090576,outputs\stage1_260506_092755 p50_simple
11,T3__I12,T3,I12,0.8139187555693613,0.8380952380952381,0.8708777927977087,0.6583333333333333,1.0,0.008949458599090576,outputs\stage1_260506_092755 p50_simple
11,T3__I13,T3,I13,0.824307081070227,0.8475177304964538,0.8708777927977087,0.6458333333333334,1.0,0.008949458599090576,outputs\stage1_260506_092755 p50_simple
11,T4__I3,T4,I3,0.8657009679522021,0.8536953242835595,0.8954083397573988,0.7479166666666667,1.0,0.0694850042462349,outputs\stage1_260506_092819 p50_simple
11,T4__I7,T4,I7,0.882171834157483,0.8720666161998486,0.8954083397573988,0.775,1.0,0.0694850042462349,outputs\stage1_260506_092819 p50_simple
11,T4__I10,T4,I10,0.8933388871533201,0.890625,0.8954083397573988,0.8395833333333333,1.0,0.0694850042462349,outputs\stage1_260506_092819 p50_simple
11,T4__I11,T4,I11,0.8623527411938396,0.8523845571536715,0.8954083397573988,0.7479166666666667,1.0,0.0694850042462349,outputs\stage1_260506_092819 p50_simple
11,T4__I12,T4,I12,0.8375190969465645,0.8316400580551524,0.8954083397573988,0.6520833333333333,1.0,0.0694850042462349,outputs\stage1_260506_092819 p50_simple
11,T4__I13,T4,I13,0.882171834157483,0.8720666161998486,0.8954083397573988,0.775,1.0,0.0694850042462349,outputs\stage1_260506_092819 p50_simple
11,T5__I3,T5,I3,0.9181539904123996,0.9214908802537668,0.9647808056213112,0.79375,1.0,0.00010573863983154297,outputs\stage1_260506_092843 p50_simple
11,T5__I7,T5,I7,0.9205502025736297,0.9240506329113924,0.9647808056213112,0.8,1.0,0.00010573863983154297,outputs\stage1_260506_092843 p50_simple
11,T5__I10,T5,I10,0.9205502025736297,0.9240506329113924,0.9647808056213112,0.8,1.0,0.00010573863983154297,outputs\stage1_260506_092843 p50_simple
11,T5__I11,T5,I11,0.9213488289362859,0.924901185770751,0.9647808056213112,0.8020833333333334,1.0,0.00010573863983154297,outputs\stage1_260506_092843 p50_simple
11,T5__I12,T5,I12,0.9205502025736297,0.9240506329113924,0.9647808056213112,0.8,1.0,0.00010573863983154297,outputs\stage1_260506_092843 p50_simple
11,T5__I13,T5,I13,0.9205502025736297,0.9240506329113924,0.9647808056213112,0.8,1.0,0.00010573863983154297,outputs\stage1_260506_092843 p50_simple
11,T6__I3,T6,I3,0.9471475792111441,0.9448698315467075,0.9419477134131878,0.8645833333333334,1.0,0.08093401193618774,outputs\stage1_260506_092907 p50_simple
11,T6__I7,T6,I7,0.9424195942355069,0.9403669724770642,0.9419477134131878,0.85625,1.0,0.08093401193618774,outputs\stage1_260506_092907 p50_simple
11,T6__I10,T6,I10,0.9118452925702847,0.910377358490566,0.9419477134131878,0.81875,1.0,0.08093401193618774,outputs\stage1_260506_092907 p50_simple
11,T6__I11,T6,I11,0.9424195942355069,0.9403669724770642,0.9419477134131878,0.85625,1.0,0.08093401193618774,outputs\stage1_260506_092907 p50_simple
11,T6__I12,T6,I12,0.9020099865086099,0.8984432913269088,0.9419477134131878,0.7625,1.0,0.08093401193618774,outputs\stage1_260506_092907 p50_simple
11,T6__I13,T6,I13,0.9424195942355069,0.9403669724770642,0.9419477134131878,0.85625,1.0,0.08093401193618774,outputs\stage1_260506_092907 p50_simple
11,T7__I3,T7,I3,0.8961561366986037,0.895330112721417,0.9377686966383922,0.7416666666666667,1.0,0.011623263359069824,outputs\stage1_260506_092930 p50_simple
